Image,URL,Title,Date,Link,Type,Views,Likes,Comments,Shares,Reach,Duration,Engagement,Full video watched rate,Total time watched seconds,Avg. time watched seconds,For You,Follow,Hashtag,Sound,Personal profile,Search
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oIPhW7cLGMfCGMCS2IX4g1AQjAElKeR8IeDT7X~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=1d8fb64d&x-expires=1770516000&x-signature=Wf0FK4qu9jAU2yTLWP8NJleFuvo%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&item=7603411713987284256&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover","https://www.tiktok.com/@giudittaleuven/video/7603411713987284256?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Soms heeft pizza geen introductie nodig, maar deze verdient er een:  Onze crudo e mozzarella, een zondige onweerstaanbare bite. De Napolitaanse pizza waar je foto’s van maakt voor je erin hapt. En daarna meteen een tweede bestelt. Proef hem bij Giuditta- tag iemand die mee moet. #pizza #leuven #italianfood #napoli #giudittaleuven ",2026-02-05 17:00,"https://www.tiktok.com/player/v1/7603411713987284256?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",426,22,0,1,0,53,Optional.empty,"0.03","3680","7.54","89","3.4",,"0","4","0.7"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oIRwgEYWPJi6qXG9NzALBffKQeqJltIGJEvifA~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=765fc42c&x-expires=1770516000&x-signature=02IIfRZiame4qxHdOa1Yc8IID2g%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&sc=cover&item=7601927011422063905&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER","https://www.tiktok.com/@giudittaleuven/video/7601927011422063905?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Klaar voor Valentijn💐?? #valentijn #pizzaheart #giudittapizza #lovefood #giudittaleuven ",2026-02-01 16:59,"https://www.tiktok.com/player/v1/7601927011422063905?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",16626,428,0,5,15945,25,Optional[2.7155848228284727],"0.01","30646","1.74","96.9","1.8",,"0","1","0"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/o4yDFDUC4IgufFS7EB3REf0PMheZSIAvvGbjg3~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=e4cc1ad0&x-expires=1770516000&x-signature=Cx%2B2JFd1w%2FIP%2BHLaR13VkewSl8A%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7600815079918947616&biz_tag=tt_video","https://www.tiktok.com/@giudittaleuven/video/7600815079918947616?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Stuur zeker een mail naar info@giuditta.be #personeel #giudittaleuven #pizzalover #giudittapizza #pizza ",2026-01-29 17:04,"https://www.tiktok.com/player/v1/7600815079918947616?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",756,26,0,3,600,22,Optional[4.833333333333333],"0.13","6557","8.57","83.9","3.9",,"0","6.4","2.5"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/osFr8fbpdAlpDu5CE4lOBR6Bmt0fQsd6EU6QID~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=89b062a5&x-expires=1770516000&x-signature=%2FE7GSblfQ%2B1wRXrPL2CjX3XwpYs%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7598957664801918240","https://www.tiktok.com/@giudittaleuven/video/7598957664801918240?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Op 14 februari vieren we de liefde met pizza en een live DJ! Reserveer snel je tafel #giuditta #valentijn #giudittaleuven #RomantichEten ",2026-01-24 16:57,"https://www.tiktok.com/player/v1/7598957664801918240?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",21532,664,2,14,20240,26,Optional[3.3596837944664033],"0.01","37856","1.71","94.3","2.2",,"0","3","0"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oQXLzAfxzuIB07IdChogEXiiLJhgy0wABCBHAQ~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=1104c0d6&x-expires=1770516000&x-signature=jkfaul%2FiCV%2FCi61B1%2FT2uuNXnfQ%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&item=7597832020168903969&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover","https://www.tiktok.com/@giudittaleuven/video/7597832020168903969?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Wat zou er komen?? #pizzalover #giudittaleuven #giudittapizza #pizzatime ",2026-01-21 16:08,"https://www.tiktok.com/player/v1/7597832020168903969?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",30947,154,2,11,25561,16,Optional[0.6533390712413443],"0.02","61316","2.16","81.4","5",,"0","13.3","0"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/o8Aq2BotfAEg2qVoBBI0JYAvViBziCAOoSLILx~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=0ad15d24&x-expires=1770516000&x-signature=VkKncBIlT5GwuD2H%2BPaZLMgrvrg%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7595977678507838752","https://www.tiktok.com/@giudittaleuven/video/7595977678507838752?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Reservaties online kan ook als je zeker een plaats wilt hebben bij giuditta!#pizzalover #giudittaleuven #giudittapizza #pizza ",2026-01-16 16:13,"https://www.tiktok.com/player/v1/7595977678507838752?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",851,20,0,1,714,19,Optional[2.9411764705882355],"0.1","8435","9.7","79.5","3.3",,"0","13.6","2.2"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/o8nERYCLdFDCABmq0py4ROQogEIMfDcDQE8Le9~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=693bbf51&x-expires=1770516000&x-signature=CeNQNzCo46fhYEBIiAlTxmoVXEU%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7593764204251761952","https://www.tiktok.com/@giudittaleuven/video/7593764204251761952?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Giuditta geopend! #pizzalover #giudittaleuven #giudittapizza #pizza #pizzatime ",2026-01-10 17:03,"https://www.tiktok.com/player/v1/7593764204251761952?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",703,14,1,2,537,36,Optional[3.165735567970205],"0.07","4317","6.05","69.2","3.1",,"0","20.9","3.4"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oUdZGfoHDDypFr1EzfEz8BI6XBmQhwAQl0RM9A~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=1b0d329d&x-expires=1770516000&x-signature=LTbMX47GumNwAJmWQcEQLbHxS1o%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7593015792166341920","https://www.tiktok.com/@giudittaleuven/video/7593015792166341920?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Pizza hunt?? #pizzalover #giudittaleuven #disneyland #piratesofthecarribean #giudittapizza ",2026-01-08 16:39,"https://www.tiktok.com/player/v1/7593015792166341920?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",683,16,1,7,562,40,Optional[4.270462633451957],"0.03","3397","4.71","70","3.2",,"0","18.7","2.6"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/ogKQQ1XIpYrjDkpcMFoOCyEdeDjlfDAZVGB5ym~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=75e3cc49&x-expires=1767927600&x-signature=Rm9F7ZVOm9Poq26n6a4DCTaQTb8%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&sc=cover&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER","https://www.tiktok.com/@giudittaleuven/video/7592627973971283233?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","Pizza hunt?? #pizzalover #giudittaleuven #disneyland #piratesofthecarribean #giudittapizza ",2026-01-07 15:34,"https://www.tiktok.com/player/v1/7592627973971283233?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",7122,66,2,2,0,40,Optional.empty,"0.01","26888","3.67","91.3","3.3",,"0","5","0"
"https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oADvjDGItSRe94xa11lNMyZICwuLIISeGQgAfl~tplv-tiktokx-cropcenter-q:300:400:q72.jpeg?dr=9232&refresh_token=575f4d7d&x-expires=1770516000&x-signature=cTMmdqalBKCLuvY5kQZyScQP8UA%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=8aecc5ac&idc=useast2b&biz_tag=tt_video&s=TIKTOK_FOR_DEVELOPER&sc=cover&item=7591540576680447265","https://www.tiktok.com/@giudittaleuven/video/7591540576680447265?utm_campaign=tt4d_open_api&utm_source=6853989043827376134","This is how legends cook #pizzatime #pizzalover #rockvibes #giudittaleuven #pizza ",2026-01-04 17:14,"https://www.tiktok.com/player/v1/7591540576680447265?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134","VIDEO",705,22,0,1,558,14,Optional[4.121863799283154],"0.08","3111","4.18","70.3","3.4",,"0","22.2","1.9"
