Content_ID,Week,Datum,Dag,Platform,Content_Type,Post_Onderwerp,Caption_Kort,Hashtags,Post_Tijd,Status,Goedkeuring,Likes,Comments,Shares,Saves,Bereik,Impressies,Engagement,Video_Views,Laatst_Geupdate,Notities,Performance_Score
"PIZZA_INTRO_001,1,2024-04-08,Maandag,Instagram,Feed Post,Signature Pizza - Margherita,Ciao Leuven! Fresh from our wood-fired oven,#pizzaleuven #leuvenfood,18:00,Gepland,In_Afwachting,,,,,,,,,,""Bird's eye view, goede belichting"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"PIZZA_INTRO_001,1,2024-04-08,Maandag,TikTok,Video,Signature Pizza - Margherita,Making your pizza from scratch,#pizza #pizzatok #fyp,20:00,Gepland,In_Afwachting,,,,,,,,,,""30 sec timelapse, trending sound"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"STORIES_DAY_002,1,2024-04-09,Dinsdag,Instagram,Stories,Dagelijkse Updates,""Good morning, polls, countdown"",N.v.t.,Hele dag,Gepland,Pre-goedgekeurd,,,,,,,,,,5 stories verspreid over dag,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"FB_INTRO_003,1,2024-04-09,Dinsdag,Facebook,Post,Introductie + Info,Welcome to La Giuditta - Authentic Italian,#Leuven #Pizza,13:00,Gepland,In_Afwachting,,,,,,,,,,""3-4 fotos, inclusief uren"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"BTS_PIZZAIOLO_004,1,2024-04-10,Woensdag,Instagram,Reel,Behind the Scenes - Maken,Watch a master at work,#pizzaleuven #behindthescenes,19:00,Gepland,In_Afwachting,,,,,,,,,,""30 sec, Italiaanse muziek"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"MENU_CAROUSEL_005,1,2024-04-11,Donderdag,Instagram,Carousel,Signature Pizzas Menu,Can't decide? Here are our favorites,#pizzaleuven #pizza,18:30,Gepland,In_Afwachting,,,,,,,,,,""3-5 slides, consistente styling"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"CHEESE_PULL_006,1,2024-04-11,Donderdag,TikTok,Video,Cheese Pull - Satisfying,The perfect cheese pull,#pizza #cheesepull #satisfying,20:30,Gepland,In_Afwachting,,,,,,,,,,""Slow motion, close-up"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
CHEESE_PULL_006,1.0,2024-04-11,Donderdag,Instagram,Reel,Cheese Pull - Satisfying,The perfect cheese pull,#pizzaleuven #satisfying,20:45,Gepland,In_Afwachting,48,10,,0,0,0,0,,2025-12-12 11:36,Cross-post van TikTok,
FRIDAY_LIFESTYLE_007,1.0,2024-04-12,Vrijdag,Instagram,Feed Post,Lifestyle - Weekend Vibe,Friday night done right,#pizzaleuven #fridaynight,17:00,Gepland,In_Afwachting,,,,,,,,,,Gezellige tafel setting,
"FRIDAY_PROMO_008,1,2024-04-12,Vrijdag,Facebook,Post,Weekend Promotie,Weekend Plans? La Giuditta ready!,#LeuvensWeekend,16:00,Gepland,In_Afwachting,,,,,,,,,,""Inclusief uren, CTA"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"FRIDAY_POV_009,1,2024-04-12,Vrijdag,TikTok,Video,POV - Vrijdagavond,POV: Best way to start weekend,#leuvenstudent #friday,19:00,Gepland,In_Afwachting,,,,,,,,,,""Trending sound, energiek"",,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
"WEEKEND_STORIES_010,1,2024-04-13,Zaterdag,Instagram,Stories,Weekend Content,""Open, customer shoutouts, busy"",N.v.t.,Hele dag,Gepland,Pre-goedgekeurd,,,,,,,,,,Meerdere stories,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,
